temperatura,umidade,velocidade_vento,precipitacao_mm,dias_sem_chuva,brilho,frp,confianca,ndvi,declividade,bioma,estado,estacao_seca,vento_forte,alto_risco
25.4,69.0,7.6,0.0,30,353.6,15.9,65.0,0.5,9.4,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,343.0,20.3,65.0,0.5,11.4,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,333.4,4.7,65.0,0.7,16.5,Mata Atlantica,GO,0,0,0
25.4,69.0,7.6,0.0,30,333.2,3.6,65.0,0.5,11.1,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,354.7,15.9,65.0,0.5,7.9,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,338.3,3.6,65.0,0.5,15.5,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,355.4,15.9,65.0,0.5,12.1,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,334.3,6.0,65.0,0.5,17.7,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,346.6,20.3,65.0,0.5,10.9,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,331.4,3.6,65.0,0.5,3.9,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,332.3,4.6,65.0,0.5,3.2,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,350.0,12.8,65.0,0.5,18.3,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,349.4,3.6,65.0,0.5,18.6,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,342.9,6.0,65.0,0.5,9.1,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,355.1,12.8,65.0,0.5,8.1,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,328.6,2.9,65.0,0.5,17.3,Desconhecido,MT,0,0,1
25.4,69.0,7.6,0.0,30,333.0,12.8,65.0,0.5,4.5,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,348.4,8.8,65.0,0.5,5.5,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,354.0,12.8,65.0,0.5,13.2,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,351.4,44.3,65.0,0.5,8.0,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,328.6,4.3,65.0,0.5,10.0,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,337.0,2.7,65.0,0.5,9.2,Cerrado,MT,0,0,0
25.4,69.0,7.6,0.0,30,331.6,4.8,65.0,0.5,11.7,Desconhecido,??,0,0,0
25.4,69.0,7.6,0.0,30,367.0,52.5,95.0,0.5,17.0,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,334.7,2.4,65.0,0.5,10.5,Desconhecido,??,0,0,0
25.4,69.0,7.6,0.0,30,333.9,3.0,65.0,0.5,13.2,Desconhecido,??,0,0,0
24.0,41.0,15.4,0.0,30,332.9,0.6,65.0,0.5,0.0,Cerrado,MT,0,0,1
24.3,70.0,7.7,0.0,30,326.6,1.7,65.0,0.5,9.8,Desconhecido,MT,0,0,0
24.3,70.0,7.7,0.0,30,326.5,4.1,65.0,0.5,5.8,Desconhecido,MT,0,0,0
24.5,65.0,10.1,0.0,30,331.4,2.4,65.0,0.5,3.9,Cerrado,MT,0,0,0
24.5,65.0,10.1,0.0,30,353.6,7.9,65.0,0.5,5.6,Cerrado,MT,0,0,0
24.5,65.0,10.1,0.0,30,353.6,7.9,65.0,0.5,8.3,Cerrado,MT,0,0,1
24.5,65.0,10.1,0.0,30,331.4,3.3,65.0,0.5,14.6,Cerrado,MT,0,0,1
24.5,65.0,10.1,0.0,30,336.6,4.0,65.0,0.5,3.4,Cerrado,MT,0,0,0
24.5,65.0,10.1,0.0,30,338.1,7.3,65.0,0.5,10.2,Cerrado,MT,0,0,0
24.5,65.0,10.1,0.0,30,327.8,2.3,65.0,0.5,7.6,Cerrado,MT,0,0,0
24.5,65.0,10.1,0.0,30,336.1,4.0,65.0,0.5,8.4,Cerrado,MT,0,0,1
24.5,65.0,10.1,0.0,30,335.9,2.6,65.0,0.5,15.0,Cerrado,MT,0,0,1
24.5,65.0,10.1,0.0,30,334.3,2.6,65.0,0.5,12.7,Cerrado,MT,0,0,1
24.5,65.0,10.1,0.0,30,335.6,4.7,65.0,0.5,16.7,Cerrado,MT,0,0,0
24.2,70.0,7.7,0.0,30,341.1,4.0,65.0,0.5,9.2,Cerrado,MT,0,0,0
24.2,70.0,7.7,0.0,30,332.6,5.7,65.0,0.5,6.5,Cerrado,MT,0,0,0
24.0,70.0,8.0,0.0,30,331.0,3.3,65.0,0.5,8.9,Cerrado,MT,0,0,1
24.0,70.0,8.0,0.0,30,337.6,3.3,65.0,0.5,11.2,Cerrado,MT,0,0,0
24.2,70.0,7.7,0.0,30,333.0,3.0,65.0,0.5,10.9,Cerrado,MT,0,0,0
24.2,70.0,7.7,0.0,30,342.3,3.0,65.0,0.5,4.6,Cerrado,MT,0,0,1
24.2,70.0,7.7,0.0,30,328.6,2.6,65.0,0.5,10.5,Cerrado,MT,0,0,0
24.0,70.0,8.0,0.0,30,335.9,4.1,65.0,0.5,11.1,Cerrado,MT,0,0,1
24.2,70.0,7.7,0.0,30,332.1,4.1,65.0,0.5,22.6,Cerrado,MT,0,0,1
24.2,70.0,7.7,0.0,30,328.5,2.0,65.0,0.5,19.4,Cerrado,MT,0,0,0
24.0,70.0,8.0,0.0,30,333.8,2.2,65.0,0.5,5.7,Cerrado,MT,0,0,0
24.2,70.0,7.7,0.0,30,333.4,3.4,65.0,0.5,8.6,Cerrado,MT,0,0,0
24.2,70.0,7.7,0.0,30,331.8,2.7,65.0,0.5,2.7,Cerrado,MT,0,0,0
24.0,70.0,8.0,0.0,30,327.4,2.4,65.0,0.5,7.0,Cerrado,MT,0,0,0
25.9,33.0,10.4,0.0,30,336.6,3.2,65.0,0.5,11.6,Cerrado,MT,0,0,1
25.9,33.0,10.4,0.0,30,343.3,5.2,65.0,0.5,16.0,Cerrado,MT,0,0,1
24.0,70.0,8.0,0.0,30,325.9,2.3,65.0,0.5,6.4,Cerrado,MT,0,0,1
24.0,70.0,8.0,0.0,30,341.3,5.3,65.0,0.5,6.7,Cerrado,MT,0,0,0
24.0,70.0,8.0,0.0,30,335.9,5.3,65.0,0.5,0.0,Cerrado,MT,0,0,0
